41,190
36,118
12,149
18,313
23,299
19,99
8,19
16,256
11,290
14,274
18,65
14,334
34,307
6,78
30,322
11,44
1,8
11,320
4,25
32,92
23,13
45,252
115,223
37,279
29,127
71,291
39,323
23,148
21,191
37,284
20,37
12,120
13,137
135,269
49,248
32,236
64,175
40,314
77,276
97,267
97,272
85,175
27,175
7,48
35,274
61,285
79,187
63,220
16,7
80,294
108,223
82,213
50,275
64,253
59,254
39,83
9,24
16,77
122,255
89,229
110,207
44,192
28,273
65,157
22,71
31,244
44,190
21,259
45,212
168,238
73,215
76,203
118,225
84,237
85,188
78,197
73,183
91,189
32,92
20,252
23,220
21,230
24,259
44,236
21,259
28,238
9,24
13,112
46,237
18,224
13,27
24,238
16,201
13,238
23,14
36,139
7,49
14,20
30,193
14,191
18,131
20,223
